1,1,"{1,0.555783674057605,0.19193704173569,0.442043224319827,0.530785421321682,0.253024527334437,0.23064080098931,0.210510129404329,0.202267057988698,0.196055752545252,0.250294968015991,0.423944909432963,0.316449006872331,0.170424942688799,0.309889761703356,0.790367943607202,0.278988976703601,0.285147500152153,0.214167089356706,0.487903328581814,0.256993179400549,0.388923127107847,0.439010013480953,0.222701450205171,0.195349805799995,0.250462376153501,0.307020497905676,0.205936563745896,0.313310344022073,0.228341068434998,0.202602541264554,0.518227635320361,0.215555973853141,0.363760947967495,0.186492807394066,0.269201984130244,0.155740078749782,0.356652046260136,0.144077516670168,0.18299009744534,0.18571710246159,0.236042447288443,0.277158199297963,0.291003849378875,0.257201795374986,0.279706934415855,0.374669311494477,0.173161949780947,0.232232431973763,0.166387036050727}"
2,2,"{0.555783674057605,1,0.414704659771334,0.446072118898805,0.471884045608173,0.189421177787836,0.172664099522572,0.1761942068622,0.240038048847024,0.188985860568866,0.187377753988615,0.410444606374874,0.257043022463492,0.177447736008592,0.179805422353121,0.388595348848277,0.233510100500546,0.238664703547584,0.178455775666016,0.450012141337375,0.215099907741274,0.310270109404503,0.282865742437817,0.187305973140904,0.210800868869988,0.187503080362751,0.20266644953489,0.171597649908095,0.260181988143889,0.170942455958511,0.205322207638891,0.458986415579097,0.161371179610968,0.337253255841617,0.139613687248794,0.178700502053036,0.227894203103737,0.200440381076355,0.138881992101977,0.136991461447499,0.139032973025262,0.176707921735201,0.164949119136274,0.243566390749193,0.192548396482846,0.269620528963866,0.154281492701135,0.12963383756149,0.173855638615066,0.124561949267858}"
3,3,"{0.19193704173569,0.414704659771334,1,0.248117667793134,0.210190863999631,0.148060123036641,0.135224605400611,0.131819599098289,0.189684682186639,0.20498246723013,0.175445539327899,0.16606774529384,0.137974126968829,0.160341135604202,0.198238996564732,0.202140777578246,0.174700453445992,0.178556866884731,0.13388673043564,0.214198064948007,0.160926877844,0.145871802952656,0.194223130308725,0.181743568830682,0.161002876812098,0.17653253536108,0.102159595574572,0.128741410643005,0.195619379420251,0.162119876865265,0.156289184857265,0.267895789879421,0.139292208630695,0.214795441587743,0.131613518381321,0.094484140348173,0.264731997952597,0.383469053084531,0.126607077565022,0.243607527759523,0.128979264383699,0.15296150614594,0.128403476331045,0.222804905666336,0.181282657037243,0.288278152635585,0.132013737341976,0.111542892545885,0.15049251936976,0.116629844812643}"
4,4,"{0.442043224319827,0.446072118898805,0.248117667793134,1,0.547657442073773,0.2661028137602,0.161679037063495,0.281077188994024,0.140450997899843,0.393539660956613,0.311461977311582,0.469245190051251,0.31207903149683,0.215015865001619,0.244715753057327,0.373827555499827,0.315278468001338,0.322238061390839,0.239807497684474,0.476692598935296,0.485824965201824,0.313968751920233,0.354109731227178,0.368591322047522,0.217205852832611,0.259693979918769,0.334896865307182,0.230591601081102,0.42661378175728,0.238491765616841,0.358174396365553,0.519473721827925,0.253078219378122,0.430599594448544,0.276961243209244,0.173095466149341,0.173164526509426,0.277968027542087,0.250640227948922,0.212000765069213,0.189739179955054,0.22501904379359,0.188892148042905,0.407361389397404,0.34160731332105,0.424081037687689,0.194203140991353,0.164088832903482,0.292421224103885,0.171572160988637}"
5,5,"{0.530785421321682,0.471884045608173,0.210190863999631,0.547657442073773,1,0.147315799598371,0.21995478845435,0.219485855068266,0.153997132501283,0.255452398523807,0.263852480544582,0.401495397214953,0.192114121987439,0.221554315657018,0.207308959603493,0.284298006329359,0.36991846030341,0.378084200537123,0.185001367919001,0.533665812076971,0.223288946692701,0.467343925440677,0.271012560369184,0.313104775887348,0.168002052081085,0.219997642651304,0.227002930616905,0.177891692472292,0.331018683211466,0.44496482436532,0.243962647666058,0.523518395918314,0.371554390893438,0.441068164149165,0.234625464290188,0.210753107664813,0.133937439630841,0.235478353448239,0.254540729406006,0.270365127213562,0.256982084371731,0.190623052570278,0.160018446703226,0.252839173253139,0.300620867718765,0.498516940084188,0.164517611178127,0.139006520041248,0.187546162129738,0.182054388865122}"
6,6,"{0.253024527334437,0.189421177787836,0.148060123036641,0.2661028137602,0.147315799598371,1,0.272090987052822,0.114347062397744,0.1481238474272,0.215260868114585,0.199517521093668,0.157825932606863,0.178325916149557,0.137334538897337,0.180570003682689,0.266475789348589,0.151544108673915,0.154889358933569,0.11699102223916,0.160319502051245,0.139596204723557,0.165886124173178,0.185110668773405,0.223329309793643,0.107166038466133,0.154255180503427,0.104592171029284,0.11249501116824,0.222459310218575,0.140631073092587,0.111144782773539,0.249960960293641,0.132756967996382,0.160766616853345,0.150282601285083,0.123280285050099,0.151749958867604,0.164898449152364,0.0887346981281589,0.112700242428711,0.114379754766954,0.145374210977837,0.135700470077727,0.199617606940964,0.158405865107095,0.21576576751059,0.126924418835732,0.138032511168317,0.14302769247429,0.132632027076321}"
7,7,"{0.23064080098931,0.172664099522572,0.135224605400611,0.161679037063495,0.21995478845435,0.272090987052822,1,0.116393329538939,0.269262822516571,0.2827092997043,0.193212682622532,0.153134139999231,0.182771789299388,0.125046993115929,0.195312386974463,0.242902101812374,0.226994678988167,0.232005457800157,0.12759064677163,0.146421203483243,0.168169644647122,0.18258983584381,0.172104403123633,0.178030839622968,0.107568938382647,0.168231013556517,0.124533881777184,0.122687287954418,0.215429501459724,0.210648276411077,0.111562641120655,0.234911953715016,0.184646735346875,0.146829557342761,0.136836571187586,0.136178934386934,0.142007868516355,0.153312336643979,0.0825000112575716,0.130360271983512,0.1713269881836,0.175130330007267,0.161520539574952,0.196141371630299,0.200937578961524,0.276497084514087,0.143825178089489,0.151931535449105,0.172303511157278,0.128440798645697}"
8,8,"{0.210510129404329,0.1761942068622,0.131819599098289,0.281077188994024,0.219485855068266,0.114347062397744,0.116393329538939,1,0.0969333773706033,0.167573045371787,0.525021073079985,0.182034404987959,0.325236736826316,0.187319475530852,0.180822495235926,0.221701245684957,0.304426272285441,0.277370011695167,0.239285639768601,0.175102114901948,0.249983608966842,0.163389437056681,0.211811325634105,0.205871470847836,0.136616373528676,0.360575398284879,0.26688683959324,0.306286505869666,0.35723041785169,0.213417296420016,0.231003514102464,0.214117513783524,0.168088746706447,0.159361395452748,0.185127027762921,0.107598128747842,0.108915617728586,0.253335466571094,0.143022365319702,0.461839186291418,0.191260424572723,0.168310423954903,0.125214299299058,0.421636754921206,0.348917953926006,0.234878600049581,0.246182321504479,0.250843039940196,0.16559368677371,0.11827293517931}"
9,9,"{0.202267057988698,0.240038048847024,0.189684682186639,0.140450997899843,0.153997132501283,0.1481238474272,0.269262822516571,0.0969333773706033,1,0.121020479228177,0.129686717203205,0.249839995711751,0.240077741440121,0.172947828158861,0.158300357061558,0.21301995701592,0.154183282758083,0.202217644403673,0.13514395113721,0.128288085778146,0.182251485068112,0.190685929409802,0.149507540375678,0.123158872402144,0.151752770319369,0.135858668186754,0.0968725086240946,0.0990788273372224,0.183579683201798,0.177873548004145,0.0935050782424924,0.203026803998001,0.214669156046837,0.128645868214784,0.0927664624276431,0.138826142767722,0.152710496109429,0.133182823593557,0.0716679732779685,0.360021448085639,0.116371703429135,0.147905934932509,0.200167730706315,0.211563902815967,0.165116231464733,0.200741887228921,0.114240902168843,0.134481276678872,0.145518551291565,0.109451681249753}"
10,10,"{0.196055752545252,0.188985860568866,0.20498246723013,0.393539660956613,0.255452398523807,0.215260868114585,0.2827092997043,0.167573045371787,0.121020479228177,1,0.219898109230869,0.153325649542334,0.140934866193772,0.151889787107773,0.205685402245075,0.206478446837582,0.295409164222595,0.186369413420351,0.139623469805486,0.221955016661963,0.167968044862235,0.152021693855538,0.184685257726588,0.248827186313658,0.127111353624564,0.184096549676535,0.104351803117152,0.134257684858994,0.32141700136452,0.169213242158106,0.188979104086011,0.277111343879683,0.165897618733397,0.222574026651891,0.359799756095372,0.096511642943113,0.259277026788377,0.197081115095368,0.176225185009902,0.139308495397305,0.114116893574066,0.145040120048977,0.352578964951238,0.231648716350692,0.189050203173533,0.342117267184913,0.285666689683353,0.106402175848705,0.142698994183788,0.191631397157005}"
