user_id,カシスオレンジ,ファジーネーブル,ピーチソーダ,スクリュードライバー,オレンジブロッサム,カルーアミルク,アレキサンダー,ダイキリ,グラスホッパー,オペレーター,キューバ・リブレ,メロン・ボール,雪国,ゴッド・ファーザー,マンハッタン,カシスグレープフルーツ,ジンバック,ホワイト・レディ,マルガリータ,ミモザ,バラライカ,サイドカー,レッド・アイ,ギムレット,チャイナブルー,カイピリーニャ,ニューヨーク,ソル・クバーノ,モスコミュール,ジントニック,ソルティドッグ,バレンシア,グリーン・アラスカ,カンパリオレンジ,シャンディ・ガフ,スプモーニ,ダージリンクーラー,カンパリソーダ,パナシェ,モヒート,マティーニ,バンブー,キティ,カミカゼ,カイピロスカ,アラスカ,エル・ディアブロ,アンダルシア,ウォッカ・マティーニ,ホーセズ・ネック
1,,5,,,,,,,,,2,,4,5,,2,,,,,3,,4,,,,,,2,,,,,,,,,,,3,,,,,,,3,,,
2,,,1,,,,2,,,,,,,,,4,5,,,5,,3,,2,,,,2,,,,2,,,,,,,,2,,,,,,,,,,
3,,2,,5,2,,1,3,,,,,5,,,3,,,,,,,,,,,,,2,,5,,,,,,,2,,,,,,,,,,,,
4,,,,4,,,3,,,,,,,,,,,2,3,,,,,4,,,,,,,,1,,,2,,,,,,,,,3,,,3,2,,
5,,,,,,,,,,,,,,,,,,,1,4,,,,2,5,,,,,5,,,,,3,,,,,4,,,4,,,,,4,,5
6,1,,,,,,,,,,,,,,,5,,,1,,,,,,,2,5,2,,,,,,,,,,,,,,,5,,,,,3,4,3
7,,2,,2,,,5,,5,,,,,,,,,,,,,,,,,,,,1,5,4,5,,,,2,,,,,,2,,,,,,,,
8,,,,,,,,,,,,2,4,,4,,,,,,,,1,,,5,,,,,5,,,3,3,,2,,,,,4,,,,,,,,
9,,,4,2,,5,,,,3,,,1,,,,,,,,,,,,,,5,,,,,,,,2,,,4,,5,,,,,4,,,,,
10,,,,3,,,,1,,,3,,2,,,4,,3,,,,,,,,,,2,,,,,,,,,,,,,4,,,,,,3,,4,
11,,,2,,,2,,,,,,,,4,,,,,,,3,5,,,,3,,,,1,3,3,,,,,,,,,,,,,2,,,,,
